NUTS_NAME,code_nuts
Flensburg,DEF01
Kiel,DEF02
Lübeck,DEF03
Neumünster,DEF04
Dithmarschen,DEF05
Hzgt. Lauenburg,DEF06
Nordfriesland,DEF07
Ostholstein,DEF08
Pinneberg,DEF09
Plön,DEF0A
Rendsburg-Eckernförde,DEF0B
Schleswig-Flensburg,DEF0C
Segeberg,DEF0D
Steinburg,DEF0E
Stormarn,DEF0F
