week,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,377,199,415,379,396,395,256,450,409,512
2,319,381,365,420,344,355,378,434,396,402
3,317,369,366,406,388,356,344,463,392,341
4,354,378,377,419,377,370,340,395,429,400
5,344,406,348,429,394,374,370,414,398,426
6,316,378,346,383,369,383,369,359,380,401
7,331,389,333,423,399,348,342,401,397,354
8,346,444,346,407,426,350,351,340,328,369
9,328,426,351,402,432,384,339,349,360,382
10,334,447,333,350,427,386,364,358,359,413
11,323,391,356,357,460,388,350,328,397,394
12,322,378,343,327,406,317,355,332,402,355
13,364,365,362,366,418,346,370,332,348,392
14,318,340,343,327,365,361,426,309,382,394
15,303,368,317,314,353,326,394,342,382,418
16,341,353,312,358,344,365,387,360,350,363
17,326,316,284,324,273,332,377,341,324,366
18,298,315,309,338,336,330,316,352,388,371
19,298,344,343,295,342,308,365,331,400,376
20,304,295,329,321,318,369,312,316,313,371
21,335,326,299,322,319,346,331,319,365,345
22,312,299,315,320,343,280,313,360,351,344
23,337,329,284,313,310,343,331,361,324,375
24,292,269,339,267,317,304,302,381,329,360
25,319,307,324,306,306,275,339,313,363,361
26,310,303,287,305,320,333,340,362,360,303
27,300,344,297,336,323,300,308,291,330,348
28,308,277,306,291,289,285,301,343,354,299
29,315,297,331,337,295,308,317,337,373,319
30,329,299,307,312,350,336,329,343,356,294
31,299,280,301,319,414,316,316,335,365,322
32,292,333,310,330,341,293,328,339,339,327
33,284,282,296,325,328,322,426,333,379,352
34,333,291,307,319,331,312,350,349,352,329
35,297,284,286,328,299,332,321,347,341,313
36,311,288,283,309,305,277,330,372,343,351
37,333,327,314,290,291,299,317,369,370,341
38,295,323,295,306,312,329,319,317,353,356
39,297,308,274,297,306,310,288,361,363,359
40,300,318,304,320,315,326,311,337,406,349
41,306,338,355,303,330,342,314,324,376,334
42,310,329,351,303,305,360,337,347,398,348
43,312,341,346,356,332,360,340,386,386,405
44,345,306,330,285,300,285,314,380,405,366
45,306,333,333,315,348,329,331,370,378,413
46,330,336,369,371,347,364,359,359,419,389
47,296,321,311,336,405,357,380,390,446,395
48,352,359,347,357,370,327,384,418,440,422
49,353,323,367,309,351,365,436,440,431,453
50,359,334,365,360,362,371,393,363,462,427
51,358,359,361,366,374,318,433,395,516,457
52,392,325,334,382,363,327,404,314,570,513
53,,195,161,,,,261,184,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
