name,original_name
"Heilbronn, Stadtkreis","Heilbronn...9"
"Heilbronn","Heilbronn...10"
"Karlsruhe, Stadtkreis","Karlsruhe...17"
"Karlsruhe","Karlsruhe...18"
"Stuttgart, Stadtkreis","Stuttgart"
"Schwäbisch Hall","SchwäbischHall"
"Baden-Baden, Stadtkreis","Baden-Baden"
"Heidelberg, Stadtkreis","Heidelberg"
"Mannheim, Stadtkreis","Mannheim"
"Pforzheim, Stadtkreis","Pforzheim"
"Freiburg im Breisgau, Stadtkreis","Freiburg im Breisgau"
"Ulm, Stadtkreis","Ulm"
